ID              nm		    lat		        lon		    countryCode
819827	        Razvilka	55.591667       37.740833	RU
524901	        Moscow	    55.752220       37.615555	RU
2973393	        Tarascon	43.805828       4.660280	FR
2986678	        Ploufragan	48.491409       -2.794580	FR
2986678	        Bucharest	48.491409       -2.794580	RO
2986678	        Ploiesti	48.491409       -2.794580	RO
2562305         Valletta    35.8997         14.5147     MT
2562746         Mdina       35.8869         14.4025     MT
3054643         Budapest    47.498          19.0399     HU
721239          Eger        47.9026         20.3733     HU
